status;garnly_produkt;garnly_variant;strikkefryd_farge;ean;sf_lager
EKSAKT;Lerke;8137 Lys jade;8137 Lys jade;7023790528243;14
EKSAKT;Peer Gynt;2720 marsipan tutti frutti tweed;2720 Marsipan Tutti Frutti Tweed;7039560021029;15
EKSAKT;Peer Gynt;2730 beigemelert natur tweed;2730 Beigemelert natur tweed;7039560021081;30
EKSAKT;Peer Gynt;2745 cognac;2745 Cognac;7039560021418;13
EKSAKT;Peer Gynt;3800 bristol black;3800 Bristol Black;7039560021104;18
EKSAKT;Peer Gynt;3854 spiced apple;3854 Spiced Apple;7039560021210;10
EKSAKT;Peer Gynt;4018 scarlet red;4018 Scarlet Red;7039560021302;22
EKSAKT;Peer Gynt;5811 arctic ice;5811 Arctic Ice;7039560021401;20
EKSAKT;Peer Gynt;5845 dazzling blue;5845 Dazzling Blue;7039560021425;27
EKSAKT;Peer Gynt;6044 ragatta blaa;6044 Regatta blå;7039560021371;11
EKSAKT;Peer Gynt;7281 dyp petrol;7281 Dyp petrol;7039560020947;19
EKSAKT;Peer Gynt;8733 spring green;8733 Spring Green;7039560021357;16
EKSAKT;Peer Gynt;9080 urban chic;9080 Urban Chic;7039560021166;16
EKSAKT;Peer Gynt;9873 dark olive;9873 Dark Olive;7039560021432;20
EKSAKT;Peer Gynt;1001 hvit;1001 Optisk hvit;7039560020015;21
EKSAKT;Peer Gynt;1002 hvit;1002 Hvit;7039560020022;33
EKSAKT;Peer Gynt;1012 natur;1012 Natur;7039560020039;25
EKSAKT;Peer Gynt;1032 lys gramelert;1032 Lys gråmelert;7039560020046;25
EKSAKT;Peer Gynt;1035 lys gramelert lovfall tweed;1035 Lys Gråmelert Løvfall Tweed;7039560021043;34
EKSAKT;Peer Gynt;1042 gramelert;1042 Gråmelert;7039560020053;59
EKSAKT;Peer Gynt;1044 natur m tutti frutti tweed;1044 Natur tutti frutti tweed;7039560021364;24
EKSAKT;Peer Gynt;1053 mork gramelert;1053 Mørk gråmelert;7039560020077;10
EKSAKT;Peer Gynt;1088 koksmelert;1088 Koksmelert;7039560020084;50
EKSAKT;Peer Gynt;1099 svart;1099 Sort;7039560020091;56
EKSAKT;Peer Gynt;1502 lys gramelert bla tweed;1502 Lys Gråmelert Blå Tweed;7039560021050;20
EKSAKT;Peer Gynt;2321 marsipan;2321 Marsipan;7039560020794;42
EKSAKT;Peer Gynt;2523 natur tweed;2523 Natur Tweed;7039560020114;33
EKSAKT;Peer Gynt;2564 gyllenbrun;2564 Gyllenbrun;7039560020749;13
EKSAKT;Peer Gynt;2650 grabeige melert;2650 Gråbeige melert;7039560020398;26
EKSAKT;Peer Gynt;2652 mellombrun melert;2652 Mellombrun melert;7039560020381;27
EKSAKT;Peer Gynt;3021 lys beigemelert;3021 Lys Beigemelert;7039560020534;41
EKSAKT;Peer Gynt;3082 brun;3082 Brun;7039560020145;49
EKSAKT;Peer Gynt;3161 eikenott;3161 Eikenøtt;7039560020152;34
EKSAKT;Peer Gynt;3819 spicy orange;3819 Spicy Orange;7039560020961;26
EKSAKT;Peer Gynt;4228 rod;4228 Rød;7039560020183;16
EKSAKT;Peer Gynt;4255 rumba red;4255 Rumba Red;7039560021388;8
EKSAKT;Peer Gynt;4363 vinr d;4363 Vinrød;7039560021227;13
EKSAKT;Peer Gynt;5575 marine;5575 Marine;7039560020213;38
EKSAKT;Peer Gynt;6046 jolly blue;6046 Jolly Blue;7039560020886;19
EKSAKT;Peer Gynt;6062 mork bla;6062 Mørk Blå;7039560020756;37
EKSAKT;Peer Gynt;6324 blamelert;6324 Blåmelert;7039560020565;38
EKSAKT;Peer Gynt;6364 mork bla;6364 Mørk blå;7039560020374;46
EKSAKT;Peer Gynt;6572 mork bla;6572 Mørk blå;7039560020633;21
EKSAKT;Peer Gynt;6581 mork grabla;6581 Mørk Gråblå;7039560020831;46
EKSAKT;Peer Gynt;8051 eukalyptus;8051 Eukalyptus;7039560020848;29
EKSAKT;Peer Gynt;8082 skoggronn;8082 Skoggrønn;7039560020855;53
EKSAKT;Peer Gynt;8236 jelly bean green;8236 Jellybean green;7039560020879;30
EKSAKT;Peer Gynt;9572 mork gronnmelert;9572 Mørk Grønnmelert;7039560020275;29
EKSAKT;Peer Gynt;4672 bjornebaersaft;4672 Bjørnebærsaft;7039560020954;24
EKSAKT;Peer Gynt;4626 shocking pink;4626 Shocking Pink;7039560020985;1
EKSAKT;Peer Gynt;8753 vineyard green;8753 Vineyard Green;7039560021470;19
EKSAKT;Peer Gynt;2152 vintage gold;2152 Vintage Gold;7039560021494;20
EKSAKT;Peer Gynt;3342 mocha mousse;3342 Mocha Mousse;7039560021487;20
EKSAKT;Peer Gynt;7772 rainforest;7772 Rain Forest;7039560021500;20
EKSAKT;Peer Gynt;2641 naturmelert;2641 Naturmelert;7039560021463;43
EKSAKT;Peer Gynt;5585 marinebla tweed;"5585 Marinebl&aring; m/ Natur Tweed";7039560021531;20
EKSAKT;Peer Gynt;8085 gronn tweed;"8085 Skoggr&oslash;nn m/ Natur Tweed";7039560021524;18
EKSAKT;Peer Gynt;3085 brun tweed;"3085 M&oslash;rk Brun m/ Natur Tweed";7039560021517;15
EKSAKT;Peer Gynt;7911 mint;7911 Mint Green;7039560021609;19
EKSAKT;Peer Gynt;4202 lotus;4202 Lotus;7039560021616;13
EKSAKT;Peer Gynt;9602 lemonade;9602 Lemonade;7039560021593;18
EKSAKT;Lille Lerke;0017 Halvbleket hvit;0017 Halvbleket hvit;7054880314095;10
EKSAKT;Lille Lerke;0020 Ubleket hvit;0020 Ubleket hvit;7054880003289;2
EKSAKT;Lille Lerke;4018 Rød;4018 Rød;7023791150986;0
EKSAKT;Lille Lerke;5563 Marine;5563 Marine;7054880312800;14
EKSAKT;Lille Lerke;8101 Jadegrønn;8101 Jadegrønn;7023791151006;5
EKSAKT;Lille Lerke;8104 Dus gammelrosa;8104 Dus gammelrosa;7023791151037;2
EKSAKT;Lille Lerke;8105 Mørk denim;8105 Mørk denim;7023791151044;18
EKSAKT;Lille Lerke;8107 Svart;8107 Svart;7000001002846;6
EKSAKT;Lille Lerke;8121 Dus rosa;8121 Dus rosa;7023791153628;9
EKSAKT;Lille Lerke;8133 Lys denim;8133 Lys denim;7023790511764;7
EKSAKT;Lille Lerke;8137 Lys jade;8137 Lys jade;7023790528342;3
EKSAKT;Lille Lerke;8151 Sand;8151 Sand;7023790548920;10
EKSAKT;Perfect;1002 hvit;1002 Hvit;7039560140195;0
EKSAKT;Perfect;1042 graamelert;1042 Gråmelert;7039560140034;23
EKSAKT;Perfect;1053 mork graamelert;1053 Mørk gråmelert;7039560140041;14
EKSAKT;Perfect;1088 koksmelert;1088 Koksmelert;7039560140058;18
EKSAKT;Perfect;1099 svart;1099 Sort;7039560140065;22
EKSAKT;Perfect;2650 lys beigemelert;2650 Lys Beigemelert;7039560140355;23
EKSAKT;Perfect;4219 rod;4219 Rød;7039560140096;1
EKSAKT;Perfect;5575 marine;5575 Marine;7039560140102;0
EKSAKT;Perfect;6062 mork blaa;6062 Mørk Blå;7039560140508;14
EKSAKT;Perfect;6553 petrol;6553 Petrol;7039560140331;25
EKSAKT;Perfect;8051 eukalyptus;8051 Eukalyptus;7039560140607;12
EKSAKT;Perfect;8581 dyp skoggronn;8581 Dyp skoggrønn;7039560140614;19
EKSAKT;Perfect;3880 mork sjokolade;3880 Mørk sjokolade;7039560140676;11
EKSAKT;Perfect;2321 marsipan;2321 Marsipan;7039560140690;17
EKSAKT;Perfect;9573 mosegr nn;9573 Mosegrønn;7039560140720;21
EKSAKT;Perfect;4255 rumba red;4255 Rumba Red;7039560140744;20
EKSAKT;Perfect;4600 jazzy pink;4600 Jazzy Pink;7039560140751;10
EKSAKT;SUNDAY PetiteKnit;3091 cacao nibs;3091 PetiteKnit Cacao Nibs;7039560031462;18
EKSAKT;SUNDAY PetiteKnit;4008 poppy;4008 PetiteKnit Poppy;7039560031493;12
EKSAKT;SUNDAY PetiteKnit;4304 plastic pink;4304 PetiteKnit Plastic Pink;7039560031486;11
EKSAKT;SUNDAY PetiteKnit;5012 perfect purple;5012 Petiteknit Perfect Purple;7039560031615;20
EKSAKT;SUNDAY PetiteKnit;5591 night sky;5591 PetiteKnit Night Sky;7039560031523;28
EKSAKT;SUNDAY PetiteKnit;1012;1012 PetiteKnit Whipped Cream;7039560030687;32
EKSAKT;SUNDAY PetiteKnit;2511 almond;2511 PetiteKnit Almond;7039560031165;15
EKSAKT;SUNDAY PetiteKnit;2542 camel;2542 PetiteKnit Camel;7039560030762;22
EKSAKT;SUNDAY PetiteKnit;3821 kardemomme;3821 PetiteKnit Kardemomme;7039560031356;11
EKSAKT;SUNDAY PetiteKnit;6043;6043 PetiteKnit Baby Blue Eyes;7039560030755;29
EKSAKT;SUNDAY PetiteKnit;6046 electric blue;6046 PetiteKnit Electric Blue;7039560031240;23
EKSAKT;SUNDAY PetiteKnit;6050 above the clouds;6050 PetiteKnit Above The Clouds;7039560031509;24
EKSAKT;SUNDAY PetiteKnit;9581 pine;9581 PetiteKnit Pine;7039560031479;24
EKSAKT;SUNDAY PetiteKnit;9564 matcha;9564 Matcha;7039560031790;22
EKSAKT;SUNDAY PetiteKnit;9533 green tea;9533 PetiteKnit Green Tea;7039560031806;9
EKSAKT;SUNDAY PetiteKnit;2013 pineapple;2013 PetiteKnit Pineapple;7039560031769;23
EKSAKT;Merci;1390 Salvia;1390 Salvia;5709673003015;18
EKSAKT;Merci;618 Mojito;618 Mojito;5709673004364;14
EKSAKT;Merci;619 Grasshopper;619 Grasshopper;5709673004371;16
EKSAKT;Merci;602 Fern;602 Fern;5709673003466;18
EKSAKT;Merci;1061 Bluestone;1061 Bluestone;5709673002971;13
EKSAKT;Merci;601 Flint;601 Flint;5709673003459;25
EKSAKT;Merci;9245 Baby Blue;9245 Baby Blue;5709673003077;14
EKSAKT;Merci;603 Maomao;603 Maomao;5709673003473;15
EKSAKT;Merci;604 Kattegat;604 Kattegat;5709673003480;6
EKSAKT;Merci;606 Grape;606 Grape;5709673003503;16
EKSAKT;Merci;607 Sweet Plum;607 Sweet Plum;5709673003510;21
EKSAKT;Merci;1770 Fairy;1770 Fairy;5709673003039;19
EKSAKT;Merci;608 Mulberry;608 Mulberry;5709673003527;14
EKSAKT;Merci;613 Cosmopolitan;613 Cosmopolitan;5709673004319;10
EKSAKT;Merci;4142 Cherry Blossom;4142 Cherry Blossom;5709673003060;9
EKSAKT;Merci;1130 Light Peach;1130 Light Peach;5709673003008;28
EKSAKT;Merci;2010 Strawberry Ice Cream;2010 Strawberry Ice Cream;5709673003046;24
EKSAKT;Merci;609 Rosehip;609 Rosehip;5709673003534;17
EKSAKT;Merci;1636 Papaya;1636 Papaya;5709673003022;12
EKSAKT;Merci;614 Strawberry Daiquiri;614 Strawberry Daiquiri;5709673004326;25
EKSAKT;Merci;615 Filur;615 Filur;5709673004333;8
EKSAKT;Merci;616 Mai Tai;616 Mai Tai;5709673004340;7
EKSAKT;Merci;1110 Duckling;1110 Duckling;5709673002995;20
EKSAKT;Merci;611 Honeydew;611 Honeydew;5709673003558;7
EKSAKT;Merci;610 Gingerbread;610 Gingerbread;5709673003541;9
EKSAKT;Merci;3249 Terra;3249 Terra;5709673003053;18
EKSAKT;Merci;612 Marshland;612 Marshland;5709673003565;7
EKSAKT;Merci;620 Tom Collins;620 Tom Collins;5709673004388;26
EKSAKT;Merci;101 Natural White;101 Natural White;5709673003442;17
EKSAKT;Merci;1090 White;1090 White;5709673002988;14
EKSAKT;DOUBLE SUNDAY PetiteKnit;1012 whipped cream;1012 PetiteKnit Whipped Cream;7039560070539;23
EKSAKT;DOUBLE SUNDAY PetiteKnit;2511 almond;2511 PetiteKnit Almond;7039560070560;28
EKSAKT;DOUBLE SUNDAY PetiteKnit;2542 camel;2542 PetiteKnit Camel;7039560070553;22
EKSAKT;DOUBLE SUNDAY PetiteKnit;3819 that orange feeling;3819 PetiteKnit That Orange Feeling;7039560070522;8
EKSAKT;DOUBLE SUNDAY PetiteKnit;3821 kardemomme;3821 PetiteKnit Kardemomme;7039560070645;40
EKSAKT;DOUBLE SUNDAY PetiteKnit;6046 electric blue;6046 PetiteKnit Electric Blue;7039560070591;14
EKSAKT;DOUBLE SUNDAY PetiteKnit;8236 statement green;8236 PetiteKnit Statement Green;7039560070621;11
EKSAKT;DOUBLE SUNDAY PetiteKnit;4008 poppy;4008 PetiteKnit Poppy;7039560071185;15
EKSAKT;DOUBLE SUNDAY PetiteKnit;5591 night sky;5591 PetiteKnit Night Sky;7039560071314;11
EKSAKT;DOUBLE SUNDAY PetiteKnit;5012 perfect purple;5012 Petiteknit Perfect Purple;7039560071338;9
EKSAKT;DOUBLE SUNDAY PetiteKnit;7723 mint;7723 PetiteKnit Mint;7039560071345;20
EKSAKT;DOUBLE SUNDAY PetiteKnit;9533 green tea;9533 PetiteKnit Green Tea;7039560071369;17
EKSAKT;DOUBLE SUNDAY PetiteKnit;6050 above the clouds;6050 PetiteKnit Above The Clouds;7039560071307;24
EKSAKT;DOUBLE SUNDAY PetiteKnit;6043 baby blue eyes;6043 PetiteKnit Baby Blue Eyes;7039560071321;23
EKSAKT;DOUBLE SUNDAY PetiteKnit;2013 pineapple;2013 PetiteKnit Pineapple;7039560071291;16
EKSAKT;DOUBLE SUNDAY PetiteKnit;4604 flamingo;4604 PetiteKnit Flamingo;7039560071352;7
EKSAKT;DOUBLE SUNDAY PetiteKnit;9564 matcha;9564 Matcha;7039560071383;15
EKSAKT;Paia;707 Ruby Shimmer;707 Ruby Shimmer;5709673003831;4
EKSAKT;Paia;708 Pink Shimmer;708 Pink Shimmer;5709673003848;2
EKSAKT;Paia;709 Rose Shimmer;709 Rose Shimmer;5709673003855;11
EKSAKT;Paia;704 Peach Shimmer;704 Peach Shimmer;5709673003800;6
EKSAKT;Paia;703 Gold Shimmer;703 Gold Shimmer;5709673003794;9
EKSAKT;Paia;705 Copper Shimmer;705 Copper Shimmer;5709673003817;6
EKSAKT;Paia;706 Chocolate Shimmer;706 Chocolate Shimmer;5709673003824;12
EKSAKT;Paia;700 Black Shimmer;700 Black Shimmer;5709673003763;6
EKSAKT;Paia;701 Diamond Shimmer;701 Diamond Shimmer;5709673003770;5
EKSAKT;Paia;702 Silver Shimmer;702 Silver Shimmer;5709673003787;14
EKSAKT;Paia;710 Ocean Shimmer;710 Ocean Shimmer;5709673003862;8
EKSAKT;Alpakka Forte;701 Lattebeige melert;701 Latte beige melert;7023791153987;0
EKSAKT;Alpakka Forte;703 Varm terracotta melert;703 Varm terracotta melert;7023791154007;0
EKSAKT;Alpakka Forte;707 Denim melert;707 Denim melert;7023791154045;0
EKSAKT;Alpakka Forte;708 Indigo melert;708 Indigo melert;7023791154052;0
EKSAKT;Alpakka Forte;709 Varm brun melert;709 Varmbrun melert;7023791154069;0
EKSAKT;Alpakka Forte;710 Koks melert;710 Koks melert;7023791154076;0
EKSAKT;Alpakka Forte;711 Natur;711 Natur;7023791154601;0
EKSAKT;Alpakka Forte;713 Lys sjøgrønn melert;713 Lys sjøgrønn melert;7023791154625;0
EKSAKT;Alpakka Forte;714 Lys denim melert;714 Lys denim melert;7023791154632;-1
EKSAKT;Alpakka Forte;715 Grå melert;715 Grå melert;7023790510385;0
EKSAKT;Alpakka Forte;716 Lys grå melert;716 Lys grå melert;7023790510408;-1
EKSAKT;Alpakka Forte;717 Hvit;717 Hvit;7023790510422;0
EKSAKT;Alpakka Forte;718 Maisgul melert;718 Maisgul melert;7023790510446;0
EKSAKT;Alpakka Forte;723 Petrol melert;723 Petrol melert;7023790510545;-8
EKSAKT;Alpakka Forte;726 Kamel;726 Kamel;7023790537214;1
EKSAKT;Alpakka Forte;727 Skogsgrønn melert;727 Skoggrønn melert;7023790537238;0
EKSAKT;Alpakka Forte;733 Svart;733 Svart;7023790588681;0
EKSAKT;Alpakka Forte;738 Skarp grønn;738 Skarp grønn;7023790588803;0
EKSAKT;Alpakka Forte;740 Oransje;740 Oransje;7023790588858;2
EKSAKT;Alpakka Forte;744 Pink;744 Pink;7023790588926;0
EKSAKT;Peer Gynt PetiteKnit;1065 koksgra melange;1065 PetiteKnit Charcoal Melange;7039560021258;47
EKSAKT;Peer Gynt PetiteKnit;2512 almond tweed;2512 PetiteKnit Almond Tweed;7039560021234;9
EKSAKT;Peer Gynt PetiteKnit;3070 muskat melange;3070 PetiteKnit Muskat Melange;7039560021265;24
EKSAKT;Peer Gynt PetiteKnit;3091 cacao nibs;3091 PetiteKnit Cacao Nibs;7039560021203;50
EKSAKT;Peer Gynt PetiteKnit;4008 poppy;4008 PetiteKnit Poppy;7039560021142;0
EKSAKT;Peer Gynt PetiteKnit;5012 perfect purple;5012 Petiteknit Perfect Purple;7039560021241;13
EKSAKT;Peer Gynt PetiteKnit;5591 night sky;5591 PetiteKnit Night Sky;7039560021111;34
EKSAKT;Peer Gynt PetiteKnit;9564 matcha;9564 Matcha;7039560021449;33
EKSAKT;Peer Gynt PetiteKnit;1021 lys graa melange;1021 PetiteKnit Ash Melange;7039560021272;45
EKSAKT;Peer Gynt PetiteKnit;2511 almond;2511 PetiteKnit Almond;7039560021173;18
EKSAKT;Peer Gynt PetiteKnit;3891 dusty noir;3891 Dusty Noir;7039560021555;19
EKSAKT;Peer Gynt PetiteKnit;4682 velvet fig;4682 Velvet Fig;7039560021548;24
EKSAKT;Peer Gynt PetiteKnit;6082 thunderstorm;6082 Thunderstorm;7039560021579;15
EKSAKT;Peer Gynt PetiteKnit;6351 september sky;6351 September Sky;7039560021562;20
EKSAKT;Peer Gynt PetiteKnit;4253 sienna;4253 Sienna;7039560021586;19
EKSAKT;Alpakka Tweed;101 Grå;101 Grå;7071765250002;0
EKSAKT;Alpakka Tweed;102 Mørk grå;102 Mørk grå;7071765250019;0
EKSAKT;Alpakka Tweed;104 Blå;104 Blå;7071765250033;0
EKSAKT;Alpakka Tweed;107 Beige;107 Beige;7071765250064;27
EKSAKT;Alpakka Tweed;110 Oliven;110 Oliven;7071765250095;0
EKSAKT;Alpakka Tweed;112 Brun;112 Brun;7071765250118;15
EKSAKT;Alpakka Tweed;113 Natur;113 Natur;7071765250743;21
EKSAKT;Alpakka Tweed;116 Dyp rød;116 Dyp rød;7071765251962;21
EKSAKT;Alpakka Tweed;120 Rød;120 Rød;7023790510606;26
EKSAKT;Alpakka Tweed;132 Furugrønn;132 Furugrønn;7023790548159;0
EKSAKT;Alpakka Tweed;133 Indigo;133 Indigo;7023790548173;0
EKSAKT;Alpakka Følgetråd;1015 kitt;1015 Kitt;7039560090353;19
EKSAKT;Alpakka Følgetråd;1032 lys gramelert;1032 Lys gråmelert;7039560090377;21
EKSAKT;Alpakka Følgetråd;2321 marsipan;2321 Marsipan;7039560090360;12
EKSAKT;Alpakka Følgetråd;6581 mork grabla;6581 Mørk Gråblå;7039560090384;13
EKSAKT;Alpakka Følgetråd;1002 hvit;1002 Hvit;7039560090414;10
EKSAKT;Alpakka Følgetråd;1099 sort;1099 Sort;7039560090421;9
EKSAKT;Alpakka Følgetråd;3161 eikenott;3161 Eikenøtt;7039560090438;4
EKSAKT;Alpakka Følgetråd;5882 marinebla;5882 Marineblå;7039560090445;27
EKSAKT;Alpakka Følgetråd;1042 gra melert;1042 Gråmelert;7039560090469;21
EKSAKT;Alpakka Følgetråd;2650 beigemelert;2650 Lys Beigemelert;7039560090476;27
EKSAKT;Alpakka Følgetråd;3091 cacao nibs;3091 PetiteKnit Cacao Nibs;7039560090513;16
EKSAKT;Alpakka Følgetråd;9080 urban chick;9080 Urban Chic;7039560090506;13
EKSAKT;Alpakka Følgetråd;4018 scarlet red;4018 Scarlet Red;7039560090537;16
EKSAKT;Alpakka Følgetråd;5811 arctic ice;5811 Arctic Ice;7039560090612;18
EKSAKT;Alpakka Følgetråd;1053 mork graamelert;1053 Mørk gråmelert;7039560090551;9
EKSAKT;Alpakka Følgetråd;5845 dazzling blue;5845 Dazzling Blue;7039560090568;15
EKSAKT;Alpakka Følgetråd;4255 rumba red;4255 Rumba Red;7039560090599;14
EKSAKT;Alpakka Følgetråd;3509 ballet tutu;3509 Ballet tutu;7039560090575;23
EKSAKT;Alpakka Følgetråd;9873 dark olive;9873 Dark Olive;7039560090605;17
EKSAKT;Alpakka Følgetråd;4372 dyp burgunder;4372 Dyp Burgunder;7039560090629;12
EKSAKT;Alpakka Følgetråd;9564 matcha;9564 Matcha;7039560090643;10
EKSAKT;Alpakka Følgetråd;9523 lime punch;9523 Lime Punch;7039560090636;19
EKSAKT;Alpakka Følgetråd;2152 vintage gold;2152 Vintage Gold;7039560090704;20
EKSAKT;Alpakka Følgetråd;4219 rod;4219 Rød;7039560090650;16
EKSAKT;Alpakka Følgetråd;5824 provence blue;5824 Provence Blue;7039560090674;15
EKSAKT;Alpakka Følgetråd;7772 rainforest;7772 Rain Forest;7039560090698;20
EKSAKT;Alpakka Følgetråd;7911 mint green;7911 Mint Green;7039560090735;20
EKSAKT;Poppy;2311 autumn leaf;2311 Autumn Leaf;7039560789202;6
EKSAKT;Poppy;1010 tutti frutti;1010 Tutti Frutti;7039560789141;22
EKSAKT;Poppy;1050 cloud in the sky;1050 Cloud in the sky;7039560789189;16
EKSAKT;Poppy;8733 spring green;8733 Spring Green;7039560791519;5
EKSAKT;Poppy;4213 blossom;4213 Blossom;7039560789226;11
EKSAKT;Poppy;2611 beigemelert;2611 Beigemelert;7039560789219;28
EKSAKT;Poppy;1002 hvit;1002 Hvit;7039560791540;20
EKSAKT;Poppy;1021 lys graamelert;1021 Lys Gråmelert;7039560791526;29
EKSAKT;Poppy;5575 marineblaa;5575 Marine;7039560791793;28
EKSAKT;Poppy;2581 after dark;2581 After Dark;7039560792226;14
EKSAKT;Poppy;3400 chocolate chip cookies;3400 Chocolate Chip Cookie;7039560792387;16
EKSAKT;Poppy;1045 grey marble;1045 Grey Marble;7039560792370;20
EKSAKT;Poppy;4510 cranberry crush;4510 Cranberry Crush;7039560792462;17
EKSAKT;Poppy;2110 tutti frutti sunshine;2110 Tutti Frutti Sunshine;7039560792455;16
EKSAKT;Poppy;8520 green marble;8520 Green Marble;7039560792479;15
EKSAKT;Primo Tynn Silk Mohair;2573 monks robe;"2573 Monk&#039;s Robe";7039560811309;13
EKSAKT;Primo Tynn Silk Mohair;3091 cacao nibs;3091 Cacao Nibs ;7039560811293;11
EKSAKT;Primo Tynn Silk Mohair;4381 dark fudge;4381 Dark Fudge;7039560811316;20
EKSAKT;Primo Tynn Silk Mohair;1012 natur;1012 Natural White;7039560811255;28
EKSAKT;Primo Tynn Silk Mohair;1022 lys gramelert;1022 Light Grey Melange;7039560811330;20
EKSAKT;Primo Tynn Silk Mohair;1099 svart;1099 Black;7039560811347;17
EKSAKT;Primo Tynn Silk Mohair;2321 marsipan;2321 Marzipan;7039560811262;7
EKSAKT;Primo Tynn Silk Mohair;3021 lys beige;3021 Light Beige;7039560811279;21
EKSAKT;Primo Tynn Silk Mohair;5581 dyp marine;5581 Blue Depth;7039560811323;13
EKSAKT;Primo Tynn Silk Mohair;3161 eikenott;3161 Acorn;7039560811286;20
EKSAKT;Primo Tynn Silk Mohair;4518 hot pink;4518 Hot Pink;7039560811415;20
EKSAKT;Primo Tynn Silk Mohair;6012 summer sky;6012 Summer Sky;7039560811422;18
EKSAKT;Primo Tynn Silk Mohair;8521 dusty light green;8521 Dusty Light Green;7039560811439;16
EKSAKT;Alpakka Silke;1002 hvit;1002 Hvit;7039560660075;1
EKSAKT;Alpakka Silke;1015 kitt;1015 Kitt;7039560660235;22
EKSAKT;Alpakka Silke;1042 lys gramelert;1042 Gråmelert;7039560660037;26
EKSAKT;Alpakka Silke;1099 svart;1099 Sort;7039560660082;27
EKSAKT;Alpakka Silke;2521 sand;2521 Sand;7039560660266;27
EKSAKT;Alpakka Silke;3511 pudder rosa;3511 Pudderrosa;7039560660143;26
EKSAKT;Alpakka Silke;4331 gammelrosa;4331 Gammelrosa;7039560660358;0
EKSAKT;Alpakka Silke;4372 burgundy;4372 Burgundy;7039560660518;9
EKSAKT;Alpakka Silke;6041 stovet bla;6041 Støvet Blå;7039560660310;3
EKSAKT;Alpakka Silke;6052 jeansbla;6052 Jeansblå;7039560660341;10
EKSAKT;Alpakka Silke;6081 dyp bla;6081 Mørk Blågrå;7039560660204;14
EKSAKT;Alpakka Silke;7521 lys grabla;7521 Lys Gråblå;7039560660181;22
EKSAKT;Alpakka Silke;7572 petroleum;7572 Petroleum;7039560660211;28
EKSAKT;Alpakka Silke;8521 stovet lys gronn;8521 Dusty Light Green;7039560660525;26
EKSAKT;Alpakka Silke;2511 mandel;2511 Mandel;7039560660549;17
EKSAKT;Alpakka Silke;3161 eikenott;3161 Eikenøtt;7039560660006;20
EKSAKT;Alpakka Silke;3821 kardemomme;3821 Kardemomme;7039560660563;16
EKSAKT;Alpakka Silke;4304 pink icing;4304 Pink Icing;7039560660631;24
EKSAKT;Alpakka Silke;3591 chocolate plum;3591 Chocolate Plum;7039560660655;1
EKSAKT;Alpakka Silke;9564 matcha;9564 Matcha;7039560660662;20
EKSAKT;Alpakka Silke;4135 heritage red;4135 Heritage Red;7039560660679;20
EKSAKT;Alpakka Silke;2112 soft sunlight;2112 Soft Sunlight;7039560660686;16
EKSAKT;Pernilla;369 Slightly Purple;369 Slightly Purple;5709673005323;13
EKSAKT;Pernilla;815 Lavender Grey (melange);815 Lavender Grey;5709673003213;10
EKSAKT;Pernilla;829 Malva (melange);829 Malva melange;5709673003343;8
EKSAKT;Pernilla;807 Boysenberry (melange);807 Boysenberry Melange;5709673003169;17
EKSAKT;Pernilla;804 Merlot (melange);804 Merlot Melange;5709673003152;12
EKSAKT;Pernilla;317 Cerise;317 Cerise;5709673003121;11
EKSAKT;Pernilla;370 Flamingo;370 Flamingo;5709673004845;12
EKSAKT;Pernilla;334 Light Blush;334 Light Blush;5709673003138;13
EKSAKT;Pernilla;830 Ranunculus (melange);830 Ranunculus;5709673003671;10
EKSAKT;Pernilla;254 Coral;254 Coral;5709673004821;17
EKSAKT;Pernilla;831 Tangelo (melange);831 Tangelo;5709673004593;9
EKSAKT;Pernilla;218 Chinese Red;218 Chinese Red;5709673003657;15
EKSAKT;Pernilla;810 Chrysantemum (melange);810 Chrysanthemum Melange;5709673003183;8
EKSAKT;Pernilla;357 Sumac;357 Sumac;5709673004586;3
EKSAKT;Pernilla;817 Cinnamon (melange);817 Cinnamon Melange;5709673003220;18
EKSAKT;Pernilla;366 Sugar Almond;366 Sugar Almond;5709673005316;27
EKSAKT;Pernilla;827 Dijon (melange);827 Dijon melange;5709673003329;15
EKSAKT;Pernilla;196 French Vanilla;196 French Vanilla;5709673004562;19
EKSAKT;Pernilla;825 Acacia (melange);825 Acacia melange;5709673003305;9
EKSAKT;Pernilla;824 Parrot Green (melange);824 Parrot Green Melange;5709673003299;11
EKSAKT;Pernilla;346 Thuja;346 Thuja;5709673003145;13
EKSAKT;Pernilla;822 Willow (melange);822 Willow Melange;5709673003275;9
EKSAKT;Pernilla;814 Storm Blue (melange);814 Storm Blue Melange;5709673003206;20
EKSAKT;Pernilla;192 Steel Blue;192 Steel Blue;5709673005293;14
EKSAKT;Pernilla;808 Aqua Mist (melange);808 Aqua Mist Melange;5709673003176;27
EKSAKT;Pernilla;368 Eucalyptus;368 Eucalyptus;5709673005309;17
EKSAKT;Pernilla;333 Seafoam;333 Seafoam;5709673004579;12
EKSAKT;Pernilla;819 Raindrop (melange);819 Raindrop melange;5709673003244;23
EKSAKT;Pernilla;812 Granite (melange);812 Granite Melange;5709673003190;22
EKSAKT;Pernilla;828 Tropical Sea (melange);828 Tropical Sea;5709673003336;23
EKSAKT;Pernilla;818 Fisherman Blue (melange);818 Fisherman Blue Melange;5709673003237;8
